,S2,Date,S1
0,1.7279049,2003-01-01,3.0972490620878195
1,5.2811987,2003-01-02,14.410652876712833
2,8.754718,2003-01-03,25.44900125192916
3,21.166835,2003-01-04,64.72280852579026
4,34.468974,2003-01-05,106.51764385960026
5,68.130408,2003-01-06,210.91662392636113
6,185.068,2003-01-07,558.396705227036
7,47.333427,2003-01-08,146.64684028746615
8,41.016026,2003-01-09,126.97611417237046
9,21.742803,2003-01-10,66.53880340644908
10,34.486843,2003-01-11,106.573582238459
11,13.955103,2003-01-12,41.93616194923267
12,10.068525,2003-01-13,29.618665422174647
13,11.378864,2003-01-14,33.77435624378401
14,13.564053,2003-01-15,40.69801026912284
15,11.746055,2003-01-16,34.93835719856297
16,6.6041955,2003-01-17,18.617402677657747
17,4.9533273,2003-01-18,13.367648976779677
18,5.3476455,2003-01-19,14.622006655297481
19,3.7630772,2003-01-20,9.579741044445262
20,5.3637896,2003-01-21,14.673356608829517
21,2.9618508,2003-01-22,7.028503688105811
22,3.7458056,2003-01-23,9.524757096716694
23,5.1783924,2003-01-24,14.083631898011875
24,5.2413117,2003-01-25,14.283776769324236
25,6.2039617,2003-01-26,17.345092820295786
26,3.842624,2003-01-27,9.832970757980172
27,2.6076799,2003-01-28,5.900411895556491
28,4.6745421,2003-01-29,12.480649084520222
29,2.2157092,2003-01-30,4.651669257086191
30,2.6316959,2003-01-31,5.976913594346989
31,1.1430542,2003-02-01,1.2330428969335157
32,2.185615,2003-02-02,4.5557840123780124
33,5.8020301,2003-02-03,16.067107607953936
34,5.7717131,2003-02-04,15.97070010402071
35,5.2653707,2003-02-05,14.36030609901533
36,2.9784774,2003-02-06,7.0814567878811445
37,2.5275281,2003-02-07,5.645085368572236
38,2.794605,2003-02-08,6.495825648116478
39,4.9830453,2003-02-09,13.46219365655673
40,4.6624987,2003-02-10,12.442328050885756
41,5.5641155,2003-02-11,15.310500928032459
42,3.0371078,2003-02-12,7.268181561539471
43,3.8232535,2003-02-13,9.77130760922504
44,5.6749298,2003-02-14,15.662920371341452
45,11.248278,2003-02-15,33.3603405868051
46,18.351018,2003-02-16,55.83645445924287
47,24.904353,2003-02-17,76.49679815721106
48,15.567705,2003-02-18,47.03923232730734
49,6.3334131,2003-02-19,17.75663826531436
50,3.5870383,2003-02-20,9.019299036256648
51,3.3791992,2003-02-21,8.357548245597174
52,2.9723429,2003-02-22,7.061919428035381
53,3.7210717,2003-02-23,9.446016102957767
54,2.7190246,2003-02-24,6.255086163186178
55,2.8359446,2003-02-25,6.62749680635592
56,9.5712756,2003-02-26,28.04088213255756
57,20.893822,2003-02-27,63.86181382128743
58,40.840694,2003-02-28,126.42919417860118
59,17.688354,2003-03-01,53.743183745874035
60,8.2909542,2003-03-02,23.976430467251504
61,8.8104025,2003-03-03,25.625789076742965
62,18.296677,2003-03-04,55.66482672183088
63,19.522372,2003-03-05,59.53475813042771
64,24.410028,2003-03-06,74.9409508344225
65,51.27801,2003-03-07,158.89430809238175
66,50.232673,2003-03-08,155.65127422345813
67,35.395403,2003-03-09,109.41707633234675
68,26.076917,2003-03-10,80.18566057305073
69,61.425097,2003-03-11,190.2764479246056
70,37.721711,2003-03-12,116.69116248793131
71,22.686635,2003-03-13,69.51341522163622
72,9.7188077,2003-03-14,28.50904925012599
73,5.7270962,2003-03-15,15.828816295651466
74,3.7801771,2003-03-16,9.634177879992638
75,3.3968313,2003-03-17,8.413690990366304
76,2.5709636,2003-03-18,5.78345213830916
77,2.0244449,2003-03-19,4.042242037000033
78,1.8263591,2003-03-20,3.4110128622824694
79,1.3083428,2003-03-21,1.7599586080623166
80,0.91205307,2003-03-22,0.4965663325578258
81,1.0634242,2003-03-23,0.979177358093505
82,0.91747373,2003-03-24,0.5138495067785374
83,1.0735892,2003-03-25,1.0115846382308007
84,1.1300939,2003-03-26,1.1917253762019695
85,1.8410565,2003-03-27,3.457850587876687
86,7.0268424,2003-03-28,19.960661827414604
87,10.766147,2003-03-29,31.83151615194733
88,12.374528,2003-03-30,36.93008608095927
89,8.5300116,2003-03-31,24.73554628926386
90,12.467816,2003-04-01,37.22567219570297
91,23.408245,2003-04-02,71.78662795925236
92,42.195074,2003-04-03,130.6525870680007
93,39.919417,2003-04-04,123.55454694710899
94,13.547067,2003-04-05,40.64422281740161
95,3.5530373,2003-04-06,8.911046408758363
96,2.3310829,2003-04-07,5.019255026494351
97,2.675228,2003-04-08,6.115580261125018
98,2.2572236,2003-04-09,4.783938638256373
99,1.6111806,2003-04-10,2.725238588385684
100,1.9646206,2003-04-11,3.8516103520760656
101,1.8810197,2003-04-12,3.5852035682742307
102,2.1894915,2003-04-13,4.568135289040459
103,2.6334276,2003-04-14,5.982429794707917
104,4.6932253,2003-04-15,12.540096879177868
105,4.1514468,2003-04-16,10.81597544470588
106,2.9634607,2003-04-17,7.033630986660379
107,2.8204323,2003-04-18,6.578088775860888
108,2.9234309,2003-04-19,6.906140538811714
109,3.3022346,2003-04-20,8.112477343226947
110,3.344035,2003-04-21,8.24557956630528
111,3.1666501,2003-04-22,7.68072391999236
112,5.3533551,2003-04-23,14.640167378073622
113,5.2047442,2003-04-24,14.167457209697842
114,3.0872759,2003-04-25,7.427951083772113
115,0.77257782,2003-04-26,0.05184750368194768
116,0.3344035,2003-04-27,-1.345495973144341
117,0.22561173,2003-04-28,-1.6924856538591235
118,0.34050689,2003-04-29,-1.3260299094728916
119,0.8778092,2003-04-30,0.3873823726754866
120,1.7501651,2003-05-01,3.168191581830484
121,2.3351831,2003-05-02,5.032318024442882
